Tipo de actividad;Distancia;Calorias;Tiempo;Frecuencia cardiaca media;TE aerobico;Cadencia de carrera media;Ritmo medio;Ascenso total;Descenso total;Longitud media de zancada;Temperatura minima;Temperatura maxima;Altura minima;Altura maxima
Trail running;21.48;1,802;2:40:36;147;3.2;137;7:28;991;999;0.97;19.0;26.0;372;837
Carrera;8.46;673;0:47:09;156;3.3;165;5:34;93;103;1.07;20.0;28.0;474;522
Trail running;11.11;1,044;1:08:56;160;4.0;160;6:12;322;326;1.00;19.0;28.0;366;553
Trail running;8.02;810;1:03:47;149;3.1;138;7:57;425;425;0.91;20.0;27.0;544;790
Trail running;12.08;1,007;1:28:49;144;2.6;148;7:21;345;345;0.92;20.0;26.0;414;531
Trail running;5.79;513;0:35:42;152;3.1;156;6:10;155;272;1.04;17.0;26.0;425;567
Carrera;5.88;450;0:27:15;167;3.4;176;4:38;9;9;1.23;24.0;26.0;38;46
Carrera;8.66;610;0:47:11;150;3.0;159;5:27;102;95;1.13;20.0;27.0;487;522
Trail running;15.72;1,397;1:49:11;154;3.4;146;6:57;482;489;0.99;21.0;29.0;336;609
Trail running;10.03;915;1:03:36;157;3.7;154;6:21;288;344;1.02;23.0;28.0;339;526
Trail running;11.38;1,159;1:24:36;157;3.8;144;7:26;423;425;0.93;19.0;28.0;387;610
Carrera;6.01;444;0:30:05;155;3.3;170;5:00;70;70;1.18;23.0;29.0;495;527
Trail running;15.18;1,111;1:30:03;153;3.9;155;5:56;266;292;1.09;23.0;28.0;279;554
Trail running;12.02;1,164;1:22:46;158;4.0;145;6:53;436;448;1.00;18.0;29.0;304;535
Carrera;8.25;627;0:47:08;154;3.3;161;5:43;113;99;1.07;22.0;25.0;453;489
Trail running;12.01;1,067;1:15:19;156;3.9;154;6:16;367;368;1.03;21.0;27.0;68;259
Carrera;5.00;425;0:28:28;156;3.4;169;5:41;63;67;1.04;24.0;28.0;192;238
Trail running;10.00;806;0:58:03;151;3.5;163;5:48;191;189;1.06;22.0;29.0;109;286
