parking,day,month,year,hour,day_off,day_of_week,school_day,check_in,check_out,temperature,humidity
ELDER,1,12,2019,0,No,D,No,16,23,20.0,83.0
ELDER,1,12,2019,1,No,D,No,8,25,20.0,83.0
ELDER,1,12,2019,2,No,D,No,1,22,20.0,78.0
ELDER,1,12,2019,3,No,D,No,1,23,19.0,83.0
ELDER,1,12,2019,4,No,D,No,0,10,19.0,78.0
ELDER,1,12,2019,5,No,D,No,1,4,19.0,78.0
ELDER,1,12,2019,6,No,D,No,1,2,19.0,78.0
ELDER,1,12,2019,7,No,D,No,8,1,19.0,78.0
ELDER,1,12,2019,8,No,D,No,8,1,20.0,73.0
ELDER,1,12,2019,9,No,D,No,34,3,21.0,69.0
ELDER,1,12,2019,10,No,D,No,35,11,22.0,64.0
ELDER,1,12,2019,11,No,D,No,44,19,22.0,64.0
ELDER,1,12,2019,12,No,D,No,46,49,22.0,64.0
ELDER,1,12,2019,13,No,D,No,46,49,22.0,64.0
ELDER,1,12,2019,14,No,D,No,30,41,22.0,64.0
ELDER,1,12,2019,15,No,D,No,12,26,22.0,69.0
ELDER,1,12,2019,16,No,D,No,12,31,22.0,60.0
ELDER,1,12,2019,17,No,D,No,26,22,21.0,69.0
ELDER,1,12,2019,18,No,D,No,17,27,20.0,68.0
ELDER,1,12,2019,19,No,D,No,13,15,20.0,68.0
ELDER,1,12,2019,20,No,D,No,9,24,20.0,64.0
ELDER,1,12,2019,21,No,D,No,2,16,19.0,68.0
ELDER,1,12,2019,22,No,D,No,1,9,19.0,68.0
ELDER,1,12,2019,23,No,D,No,2,7,18.0,73.0
ELDER,2,12,2019,5,No,L,Sí,2,0,19.0,78.0
ELDER,2,12,2019,6,No,L,Sí,4,3,18.0,77.0
ELDER,2,12,2019,7,No,L,Sí,28,3,19.0,73.0
ELDER,2,12,2019,8,No,L,Sí,54,6,20.0,68.0
ELDER,2,12,2019,9,No,L,Sí,45,17,20.0,73.0
ELDER,2,12,2019,10,No,L,Sí,49,30,19.0,83.0
ELDER,2,12,2019,11,No,L,Sí,39,47,21.0,64.0
ELDER,2,12,2019,12,No,L,Sí,35,38,23.0,57.0
ELDER,2,12,2019,13,No,L,Sí,43,64,23.0,50.0
ELDER,2,12,2019,14,No,L,Sí,15,37,22.0,53.0
ELDER,2,12,2019,15,No,L,Sí,24,31,22.0,50.0
ELDER,2,12,2019,16,No,L,Sí,28,28,21.0,53.0
ELDER,2,12,2019,17,No,L,Sí,30,24,21.0,64.0
ELDER,2,12,2019,18,No,L,Sí,19,24,20.0,64.0
ELDER,2,12,2019,19,No,L,Sí,10,29,18.0,83.0
ELDER,2,12,2019,20,No,L,Sí,8,24,18.0,77.0
ELDER,2,12,2019,21,No,L,Sí,4,16,17.0,82.0
ELDER,2,12,2019,22,No,L,Sí,2,5,17.0,88.0
ELDER,2,12,2019,23,No,L,Sí,0,2,18.0,77.0
ELDER,3,12,2019,0,No,M,Sí,0,1,17.0,82.0
ELDER,3,12,2019,5,No,M,Sí,3,0,18.0,73.0
ELDER,3,12,2019,6,No,M,Sí,3,1,17.0,77.0
ELDER,3,12,2019,7,No,M,Sí,22,4,18.0,73.0
ELDER,3,12,2019,8,No,M,Sí,43,11,18.0,73.0
ELDER,3,12,2019,9,No,M,Sí,42,18,19.0,64.0
ELDER,3,12,2019,10,No,M,Sí,33,30,20.0,60.0
ELDER,3,12,2019,11,No,M,Sí,43,34,21.0,49.0
ELDER,3,12,2019,12,No,M,Sí,30,44,21.0,56.0
ELDER,3,12,2019,13,No,M,Sí,30,39,21.0,53.0
ELDER,3,12,2019,14,No,M,Sí,24,35,22.0,50.0
ELDER,3,12,2019,15,No,M,Sí,18,29,22.0,53.0
