Hora,Temperatura,Humedad,Dia
0,20,83,1
1,20,83,1
2,20,78,1
3,20,78,1
4,19,83,1
5,19,78,1
6,19,78,1
7,19,78,1
8,19,78,1
9,20,73,1
10,21,69,1
11,22,64,1
12,23,61,1
13,22,64,1
14,23,65,1
15,22,69,1
16,22,64,1
17,22,64,1
18,20,68,1
19,20,68,1
20,20,68,1
21,19,68,1
22,19,64,1
23,19,68,1
0,19,68,2
1,19,68,2
2,20,60,2
3,20,64,2
4,19,73,2
5,19,78,2
6,19,73,2
7,19,68,2
8,19,68,2
9,20,68,2
10,18,88,2
11,21,69,2
12,22,57,2
13,23,53,2
14,22,53,2
15,22,50,2
16,22,50,2
17,21,56,2
18,20,64,2
19,19,73,2
20,18,83,2
21,17,88,2
22,18,77,2
23,18,83,2
0,17,82,3
1,18,73,3
2,17,77,3
3,18,73,3
4,17,82,3
5,18,73,3
6,17,77,3
7,18,73,3
8,18,73,3
9,19,64,3
10,19,60,3
11,21,49,3
12,21,56,3
13,20,68,3
14,21,53,3
15,22,57,3
16,21,56,3
17,21,49,3
18,20,53,3
19,19,56,3
20,18,64,3
21,18,59,3
22,19,60,3
23,19,60,3
0,18,68,4
1,18,64,4
2,19,60,4
3,17,68,4
4,17,68,4
5,18,59,4
6,18,68,4
7,18,64,4
8,19,56,4
9,19,56,4
10,21,49,4
11,21,46,4
12,21,56,4
13,22,50,4
14,22,43,4
15,22,46,4
16,21,53,4
17,21,56,4
18,20,64,4
19,20,60,4
20,20,64,4
21,20,60,4
22,19,64,4
23,19,64,4
0,18,73,5
1,19,68,5
2,17,88,5
3,17,88,5
4,16,94,5
5,17,72,5
6,17,72,5
7,17,68,5
8,17,68,5
9,18,64,5
10,19,64,5
11,19,68,5
12,19,73,5
13,19,68,5
14,20,60,5
15,20,68,5
16,18,77,5
17,19,68,5
18,17,72,5
19,17,72,5
20,17,72,5
21,17,72,5
22,16,77,5
23,17,72,5
0,16,82,6
1,17,77,6
2,17,77,6
3,17,72,6
4,17,68,6
5,17,72,6
6,17,72,6
7,17,77,6
8,17,72,6
9,18,73,6
10,18,77,6
11,19,78,6
12,21,64,6
13,18,83,6
14,21,60,6
15,21,60,6
16,20,68,6
17,18,83,6
18,19,73,6
19,18,77,6
20,18,77,6
21,18,77,6
22,18,77,6
23,17,82,6
0,17,82,7
1,18,73,7
2,17,77,7
3,17,72,7
4,17,77,7
5,17,72,7
6,17,72,7
7,17,77,7
8,18,73,7
9,18,77,7
10,20,68,7
11,21,69,7
12,21,69,7
13,21,69,7
14,21,69,7
15,21,64,7
16,20,73,7
17,20,73,7
18,20,73,7
19,19,73,7
20,19,78,7
21,19,78,7
22,19,73,7
23,19,78,7
0,19,78,8
1,19,78,8
2,19,78,8
3,18,77,8
4,18,77,8
5,18,73,8
6,18,73,8
7,18,73,8
8,18,68,8
9,19,73,8
10,20,64,8
11,21,60,8
12,21,64,8
13,21,60,8
14,22,60,8
15,21,64,8
16,21,60,8
17,20,64,8
18,19,68,8
19,19,68,8
20,19,73,8
21,19,68,8
22,19,68,8
23,19,68,8
0,18,73,9
1,19,68,9
2,19,73,9
3,18,73,9
4,18,73,9
5,18,73,9
6,18,73,9
7,18,73,9
8,18,77,9
9,19,73,9
10,19,73,9
11,20,68,9
12,20,73,9
13,22,60,9
14,21,69,9
15,21,64,9
16,21,60,9
17,20,68,9
18,20,68,9
19,19,73,9
20,19,73,9
21,19,73,9
22,19,73,9
23,18,73,9
0,18,73,10
1,18,68,10
2,17,72,10
3,18,68,10
4,18,68,10
5,18,68,10
6,18,68,10
7,17,72,10
8,17,72,10
9,18,73,10
10,20,68,10
11,21,64,10
12,21,64,10
13,21,60,10
14,21,64,10
15,21,69,10
16,21,64,10
17,21,69,10
18,20,68,10
19,20,73,10
20,20,73,10
21,20,78,10
22,20,68,10
23,20,73,10
0,19,73,11
1,19,78,11
2,19,78,11
3,19,78,11
4,18,77,11
5,18,77,11
6,18,83,11
7,18,77,11
8,18,77,11
9,20,73,11
10,20,73,11
11,21,69,11
12,21,69,11
13,22,64,11
14,22,60,11
15,21,64,11
16,21,64,11
17,20,68,11
18,19,68,11
19,19,68,11
20,19,64,11
21,19,68,11
22,19,64,11
23,19,64,11
0,18,68,12
1,18,73,12
2,18,73,12
3,18,68,12
4,18,73,12
5,18,73,12
6,18,73,12
7,18,73,12
8,18,73,12
9,19,68,12
10,21,64,12
11,21,64,12
12,21,64,12
13,22,64,12
14,20,73,12
15,21,69,12
16,20,68,12
17,20,73,12
18,19,68,12
19,19,68,12
20,19,64,12
21,19,64,12
22,19,60,12
23,19,56,12
0,18,59,13
1,18,68,13
2,18,59,13
3,18,59,13
4,18,64,13
5,18,59,13
6,18,59,13
7,18,59,13
8,18,59,13
9,18,59,13
10,19,56,13
11,19,56,13
12,20,56,13
13,22,53,13
14,21,53,13
15,21,56,13
16,20,60,13
17,20,56,13
18,19,64,13
19,19,68,13
20,19,64,13
21,19,64,13
22,18,64,13
23,19,64,13
0,19,60,14
1,18,68,14
2,18,68,14
3,18,73,14
4,19,68,14
5,19,73,14
6,18,77,14
7,18,77,14
8,18,68,14
9,19,64,14
10,20,68,14
11,21,69,14
12,22,64,14
13,21,64,14
14,22,64,14
15,21,73,14
16,20,73,14
17,20,73,14
18,20,73,14
19,20,73,14
20,20,73,14
21,20,73,14
22,19,78,14
23,19,78,14
0,19,78,15
1,19,78,15
2,19,73,15
3,18,73,15
4,18,77,15
5,17,77,15
6,16,82,15
7,16,77,15
8,16,82,15
9,18,73,15
10,19,73,15
11,19,73,15
12,19,73,15
13,20,68,15
14,20,64,15
15,20,64,15
16,20,64,15
17,19,68,15
18,19,68,15
19,18,73,15
20,18,73,15
21,18,73,15
22,18,73,15
23,17,77,15
0,16,77,16
1,16,72,16
2,16,72,16
3,16,72,16
4,15,77,16
5,15,77,16
6,16,72,16
7,16,63,16
8,16,63,16
9,18,64,16
10,21,49,16
11,21,53,16
12,22,46,16
13,22,53,16
14,22,35,16
15,22,38,16
16,20,60,16
17,21,43,16
18,18,64,16
19,17,77,16
20,18,59,16
21,17,72,16
22,17,63,16
23,17,63,16
0,16,72,17
1,15,82,17
2,16,82,17
3,16,77,17
4,16,72,17
5,17,68,17
6,16,68,17
7,16,72,17
8,16,72,17
9,18,64,17
10,20,56,17
11,21,53,17
12,22,50,17
13,23,41,17
14,23,44,17
15,22,50,17
16,22,57,17
17,21,56,17
18,20,60,17
19,19,68,17
20,18,68,17
21,17,68,17
22,17,72,17
23,17,72,17
