parking,day,month,year,hour,holiday,day_of_week,school_day,check_in,check_out,temperature,humidity
ELDER,1,12,2022,0,No,J,Sí,0,9,19.0,64.0
ELDER,1,12,2022,1,No,J,Sí,0,2,19.0,60.0
ELDER,1,12,2022,4,No,J,Sí,0,1,19.0,60.0
ELDER,1,12,2022,5,No,J,Sí,1,1,19.0,64.0
ELDER,1,12,2022,6,No,J,Sí,8,8,19.0,68.0
ELDER,1,12,2022,7,No,J,Sí,16,5,20.0,60.0
ELDER,1,12,2022,8,No,J,Sí,52,13,20.0,56.0
ELDER,1,12,2022,9,No,J,Sí,29,26,21.0,53.0
ELDER,1,12,2022,10,No,J,Sí,43,19,22.0,50.0
ELDER,1,12,2022,11,No,J,Sí,33,29,23.0,50.0
ELDER,1,12,2022,12,No,J,Sí,30,35,24.0,50.0
ELDER,1,12,2022,13,No,J,Sí,35,41,23.0,57.0
ELDER,1,12,2022,14,No,J,Sí,34,40,23.0,53.0
ELDER,1,12,2022,15,No,J,Sí,35,33,24.0,50.0
ELDER,1,12,2022,16,No,J,Sí,34,22,23.0,53.0
ELDER,1,12,2022,17,No,J,Sí,53,28,22.0,60.0
ELDER,1,12,2022,18,No,J,Sí,48,49,22.0,57.0
ELDER,1,12,2022,19,No,J,Sí,51,47,21.0,64.0
ELDER,1,12,2022,20,No,J,Sí,26,39,20.0,78.0
ELDER,1,12,2022,21,No,J,Sí,11,31,20.0,78.0
ELDER,1,12,2022,22,No,J,Sí,8,31,20.0,78.0
ELDER,1,12,2022,23,No,J,Sí,3,14,20.0,73.0
ELDER,2,12,2022,0,No,V,Sí,1,13,19.0,78.0
ELDER,2,12,2022,1,No,V,Sí,1,14,19.0,78.0
ELDER,2,12,2022,2,No,V,Sí,1,4,18.0,77.0
ELDER,2,12,2022,3,No,V,Sí,0,4,18.0,73.0
ELDER,2,12,2022,4,No,V,Sí,0,1,19.0,78.0
ELDER,2,12,2022,5,No,V,Sí,0,1,19.0,78.0
ELDER,2,12,2022,6,No,V,Sí,11,5,18.0,94.0
ELDER,2,12,2022,7,No,V,Sí,15,6,18.0,94.0
ELDER,2,12,2022,8,No,V,Sí,48,10,19.0,88.0
ELDER,2,12,2022,9,No,V,Sí,40,23,20.0,78.0
ELDER,2,12,2022,10,No,V,Sí,43,36,22.0,69.0
ELDER,2,12,2022,11,No,V,Sí,44,26,22.0,69.0
ELDER,2,12,2022,12,No,V,Sí,34,41,24.0,61.0
ELDER,2,12,2022,13,No,V,Sí,37,38,24.0,50.0
ELDER,2,12,2022,14,No,V,Sí,50,33,24.0,50.0
ELDER,2,12,2022,15,No,V,Sí,30,26,24.0,50.0
ELDER,2,12,2022,16,No,V,Sí,22,23,23.0,53.0
ELDER,2,12,2022,17,No,V,Sí,30,28,20.0,83.0
ELDER,2,12,2022,18,No,V,Sí,17,18,20.0,78.0
ELDER,2,12,2022,19,No,V,Sí,28,28,20.0,73.0
ELDER,2,12,2022,20,No,V,Sí,32,34,20.0,73.0
ELDER,2,12,2022,21,No,V,Sí,20,19,19.0,78.0
ELDER,2,12,2022,22,No,V,Sí,17,30,19.0,78.0
ELDER,2,12,2022,23,No,V,Sí,17,16,19.0,73.0
ELDER,3,12,2022,0,No,S,No,10,28,18.0,77.0
ELDER,3,12,2022,1,No,S,No,5,14,18.0,88.0
ELDER,3,12,2022,2,No,S,No,0,15,19.0,73.0
ELDER,3,12,2022,3,No,S,No,0,9,19.0,73.0
ELDER,3,12,2022,4,No,S,No,0,17,19.0,73.0
ELDER,3,12,2022,5,No,S,No,0,3,18.0,77.0
ELDER,3,12,2022,6,No,S,No,5,0,19.0,73.0
ELDER,3,12,2022,7,No,S,No,5,3,19.0,78.0
ELDER,3,12,2022,8,No,S,No,19,5,20.0,73.0
ELDER,3,12,2022,9,No,S,No,23,16,19.0,83.0
ELDER,3,12,2022,10,No,S,No,37,24,20.0,78.0
ELDER,3,12,2022,11,No,S,No,46,15,21.0,73.0
ELDER,3,12,2022,12,No,S,No,30,31,21.0,73.0
ELDER,3,12,2022,13,No,S,No,46,34,20.0,78.0
ELDER,3,12,2022,14,No,S,No,41,43,19.0,94.0
ELDER,3,12,2022,15,No,S,No,20,17,18.0,94.0
ELDER,3,12,2022,16,No,S,No,27,24,18.0,94.0
ELDER,3,12,2022,17,No,S,No,25,27,18.0,88.0
ELDER,3,12,2022,18,No,S,No,18,28,18.0,88.0
ELDER,3,12,2022,19,No,S,No,30,27,18.0,88.0
ELDER,3,12,2022,20,No,S,No,28,30,18.0,83.0
ELDER,3,12,2022,21,No,S,No,31,24,19.0,78.0
ELDER,3,12,2022,22,No,S,No,24,27,18.0,88.0
ELDER,3,12,2022,23,No,S,No,13,13,18.0,88.0
ELDER,4,12,2022,0,No,D,No,9,23,19.0,83.0
ELDER,4,12,2022,1,No,D,No,7,21,19.0,83.0
ELDER,4,12,2022,2,No,D,No,3,25,18.0,88.0
ELDER,4,12,2022,3,No,D,No,1,14,18.0,94.0
ELDER,4,12,2022,4,No,D,No,2,13,18.0,94.0
ELDER,4,12,2022,5,No,D,No,2,8,18.0,88.0
ELDER,4,12,2022,6,No,D,No,1,1,18.0,88.0
ELDER,4,12,2022,7,No,D,No,8,9,18.0,88.0
ELDER,4,12,2022,8,No,D,No,9,1,18.0,94.0
ELDER,4,12,2022,9,No,D,No,45,10,20.0,78.0
ELDER,4,12,2022,10,No,D,No,56,14,21.0,73.0
ELDER,4,12,2022,11,No,D,No,22,20,22.0,64.0
ELDER,4,12,2022,12,No,D,No,42,39,23.0,61.0
ELDER,4,12,2022,13,No,D,No,35,38,23.0,57.0
ELDER,4,12,2022,14,No,D,No,31,35,25.0,44.0
ELDER,4,12,2022,15,No,D,No,29,35,23.0,50.0
ELDER,4,12,2022,16,No,D,No,35,26,23.0,57.0
ELDER,4,12,2022,17,No,D,No,32,37,22.0,60.0
ELDER,4,12,2022,18,No,D,No,22,38,21.0,64.0
ELDER,4,12,2022,19,No,D,No,28,31,20.0,68.0
ELDER,4,12,2022,20,No,D,No,13,32,20.0,68.0
ELDER,4,12,2022,21,No,D,No,5,24,20.0,78.0
ELDER,4,12,2022,22,No,D,No,0,16,20.0,73.0
ELDER,4,12,2022,23,No,D,No,3,5,20.0,73.0
ELDER,5,12,2022,0,No,L,Sí,1,8,20.0,83.0
ELDER,5,12,2022,1,No,L,Sí,0,1,20.0,78.0
ELDER,5,12,2022,4,No,L,Sí,0,1,20.0,68.0
ELDER,5,12,2022,5,No,L,Sí,1,0,21.0,64.0
ELDER,5,12,2022,6,No,L,Sí,7,2,20.0,68.0
ELDER,5,12,2022,7,No,L,Sí,24,7,20.0,68.0
ELDER,5,12,2022,8,No,L,Sí,33,10,20.0,73.0
ELDER,5,12,2022,9,No,L,Sí,51,22,22.0,64.0
ELDER,5,12,2022,10,No,L,Sí,44,30,24.0,54.0
ELDER,5,12,2022,11,No,L,Sí,39,35,24.0,54.0
ELDER,5,12,2022,12,No,L,Sí,33,32,24.0,61.0
ELDER,5,12,2022,13,No,L,Sí,44,40,24.0,65.0
ELDER,5,12,2022,14,No,L,Sí,28,40,24.0,61.0
ELDER,5,12,2022,15,No,L,Sí,37,32,24.0,61.0
ELDER,5,12,2022,16,No,L,Sí,29,33,23.0,69.0
ELDER,5,12,2022,17,No,L,Sí,36,32,22.0,78.0
ELDER,5,12,2022,18,No,L,Sí,31,46,22.0,73.0
ELDER,5,12,2022,19,No,L,Sí,28,27,22.0,73.0
ELDER,5,12,2022,20,No,L,Sí,35,37,21.0,83.0
ELDER,5,12,2022,21,No,L,Sí,42,26,21.0,78.0
ELDER,5,12,2022,22,No,L,Sí,13,17,20.0,83.0
ELDER,5,12,2022,23,No,L,Sí,5,18,20.0,83.0
ELDER,6,12,2022,0,Sí,M,No,1,29,19.0,88.0
ELDER,6,12,2022,1,Sí,M,No,2,10,19.0,83.0
ELDER,6,12,2022,2,Sí,M,No,1,13,18.0,88.0
ELDER,6,12,2022,3,Sí,M,No,1,13,18.0,83.0
ELDER,6,12,2022,4,Sí,M,No,2,6,17.0,82.0
ELDER,6,12,2022,5,Sí,M,No,0,3,18.0,77.0
ELDER,6,12,2022,6,Sí,M,No,3,0,17.0,82.0
ELDER,6,12,2022,7,Sí,M,No,3,0,18.0,73.0
ELDER,6,12,2022,8,Sí,M,No,2,2,19.0,68.0
ELDER,6,12,2022,9,Sí,M,No,17,5,22.0,69.0
ELDER,6,12,2022,10,Sí,M,No,37,11,22.0,69.0
ELDER,6,12,2022,11,Sí,M,No,58,17,23.0,69.0
ELDER,6,12,2022,12,Sí,M,No,51,35,24.0,61.0
ELDER,6,12,2022,13,Sí,M,No,34,49,24.0,65.0
ELDER,6,12,2022,14,Sí,M,No,31,40,24.0,69.0
ELDER,6,12,2022,15,Sí,M,No,19,22,23.0,65.0
ELDER,6,12,2022,16,Sí,M,No,31,15,23.0,69.0
ELDER,6,12,2022,17,Sí,M,No,30,31,23.0,65.0
ELDER,6,12,2022,18,Sí,M,No,29,43,22.0,69.0
ELDER,6,12,2022,19,Sí,M,No,31,40,21.0,73.0
ELDER,6,12,2022,20,Sí,M,No,17,30,20.0,83.0
ELDER,6,12,2022,21,Sí,M,No,10,25,20.0,83.0
ELDER,6,12,2022,22,Sí,M,No,3,23,20.0,78.0
ELDER,6,12,2022,23,Sí,M,No,0,17,20.0,78.0
ELDER,7,12,2022,0,No,X,No,1,2,20.0,78.0
ELDER,7,12,2022,1,No,X,No,0,1,20.0,78.0
ELDER,7,12,2022,3,No,X,No,1,1,19.0,68.0
ELDER,7,12,2022,4,No,X,No,0,1,19.0,68.0
ELDER,7,12,2022,5,No,X,No,0,1,18.0,73.0
ELDER,7,12,2022,6,No,X,No,4,2,18.0,73.0
ELDER,7,12,2022,7,No,X,No,19,4,19.0,68.0
ELDER,7,12,2022,8,No,X,No,31,11,20.0,64.0
ELDER,7,12,2022,9,No,X,No,21,9,22.0,60.0
ELDER,7,12,2022,10,No,X,No,51,22,22.0,57.0
ELDER,7,12,2022,11,No,X,No,51,27,22.0,64.0
ELDER,7,12,2022,12,No,X,No,32,34,23.0,65.0
ELDER,7,12,2022,13,No,X,No,41,46,24.0,61.0
ELDER,7,12,2022,14,No,X,No,20,45,23.0,73.0
ELDER,7,12,2022,15,No,X,No,48,35,23.0,73.0
ELDER,7,12,2022,16,No,X,No,50,41,21.0,94.0
ELDER,7,12,2022,17,No,X,No,43,40,21.0,88.0
ELDER,7,12,2022,18,No,X,No,36,36,21.0,94.0
ELDER,7,12,2022,19,No,X,No,41,41,22.0,88.0
ELDER,7,12,2022,20,No,X,No,44,43,22.0,88.0
ELDER,7,12,2022,21,No,X,No,28,23,22.0,88.0
ELDER,7,12,2022,22,No,X,No,18,27,21.0,73.0
ELDER,7,12,2022,23,No,X,No,17,15,22.0,83.0
ELDER,8,12,2022,0,Sí,J,No,11,23,21.0,83.0
ELDER,8,12,2022,1,Sí,J,No,0,24,20.0,100.0
ELDER,8,12,2022,2,Sí,J,No,0,27,21.0,88.0
ELDER,8,12,2022,3,Sí,J,No,1,14,20.0,94.0
ELDER,8,12,2022,4,Sí,J,No,1,8,20.0,94.0
ELDER,8,12,2022,5,Sí,J,No,0,5,20.0,88.0
ELDER,8,12,2022,6,Sí,J,No,4,2,21.0,88.0
ELDER,8,12,2022,7,Sí,J,No,3,1,21.0,94.0
ELDER,8,12,2022,8,Sí,J,No,4,3,21.0,94.0
ELDER,8,12,2022,9,Sí,J,No,16,6,22.0,88.0
ELDER,8,12,2022,10,Sí,J,No,34,11,22.0,88.0
ELDER,8,12,2022,11,Sí,J,No,54,13,23.0,83.0
