city,year,weekofyear,total_cases
sj,2008,18,9
sj,2008,19,9
sj,2008,20,9
sj,2008,21,9
sj,2008,22,9
sj,2008,23,9
sj,2008,24,61
sj,2008,25,61
sj,2008,26,61
sj,2008,27,61
sj,2008,28,61
sj,2008,29,61
sj,2008,30,61
sj,2008,31,61
sj,2008,32,61
sj,2008,33,61
sj,2008,34,61
sj,2008,35,61
sj,2008,36,61
sj,2008,37,61
sj,2008,38,61
sj,2008,39,61
sj,2008,40,61
sj,2008,41,61
sj,2008,42,61
sj,2008,43,61
sj,2008,44,9
sj,2008,45,61
sj,2008,46,61
sj,2008,47,61
sj,2008,48,9
sj,2008,49,9
sj,2008,50,9
sj,2008,51,9
sj,2008,52,9
sj,2009,1,6
sj,2009,2,6
sj,2009,3,6
sj,2009,4,6
sj,2009,5,6
sj,2009,6,6
sj,2009,7,6
sj,2009,8,6
sj,2009,9,6
sj,2009,10,6
sj,2009,11,6
sj,2009,12,6
sj,2009,13,6
sj,2009,14,6
sj,2009,15,6
sj,2009,16,6
sj,2009,17,6
sj,2009,18,6
sj,2009,19,6
sj,2009,20,6
sj,2009,21,6
sj,2009,22,13
sj,2009,23,13
sj,2009,24,13
sj,2009,25,13
sj,2009,26,13
sj,2009,27,13
sj,2009,28,13
sj,2009,29,13
sj,2009,30,13
sj,2009,31,13
sj,2009,32,13
sj,2009,33,13
sj,2009,34,13
sj,2009,35,13
sj,2009,36,13
sj,2009,37,13
sj,2009,38,13
sj,2009,39,13
sj,2009,40,13
sj,2009,41,13
sj,2009,42,13
sj,2009,43,13
sj,2009,44,13
sj,2009,45,13
sj,2009,46,13
sj,2009,47,13
sj,2009,48,13
sj,2009,49,13
sj,2009,50,13
sj,2009,51,13
sj,2009,52,13
sj,2010,53,20
sj,2010,1,12
sj,2010,2,12
sj,2010,3,12
sj,2010,4,12
sj,2010,5,12
sj,2010,6,12
sj,2010,7,12
sj,2010,8,12
sj,2010,9,12
sj,2010,10,12
sj,2010,11,12
sj,2010,12,33
sj,2010,13,12
sj,2010,14,12
sj,2010,15,12
sj,2010,16,20
sj,2010,17,20
sj,2010,18,33
sj,2010,19,20
sj,2010,20,20
sj,2010,21,20
sj,2010,22,20
sj,2010,23,33
sj,2010,24,33
sj,2010,25,20
sj,2010,26,20
sj,2010,27,20
sj,2010,28,33
sj,2010,29,20
sj,2010,30,20
sj,2010,31,20
sj,2010,32,33
sj,2010,33,33
sj,2010,34,96
sj,2010,35,96
sj,2010,36,96
sj,2010,37,20
sj,2010,38,96
sj,2010,39,20
sj,2010,40,20
sj,2010,41,96
sj,2010,42,96
sj,2010,43,96
sj,2010,44,20
sj,2010,45,20
sj,2010,46,20
sj,2010,47,20
sj,2010,48,20
sj,2010,49,20
sj,2010,50,20
sj,2010,51,20
sj,2011,52,6
sj,2011,1,6
sj,2011,2,6
sj,2011,3,6
sj,2011,4,6
sj,2011,5,6
sj,2011,6,6
sj,2011,7,6
sj,2011,8,6
sj,2011,9,6
sj,2011,10,6
sj,2011,11,6
sj,2011,12,6
sj,2011,13,6
sj,2011,14,6
sj,2011,15,6
sj,2011,16,6
sj,2011,17,6
sj,2011,18,6
sj,2011,19,6
sj,2011,20,6
sj,2011,21,6
sj,2011,22,6
sj,2011,23,6
sj,2011,24,6
sj,2011,25,6
sj,2011,26,6
sj,2011,27,6
sj,2011,28,6
sj,2011,29,6
sj,2011,30,6
sj,2011,31,6
sj,2011,32,6
sj,2011,33,6
sj,2011,34,6
sj,2011,35,6
sj,2011,36,6
sj,2011,37,6
sj,2011,38,6
sj,2011,39,6
sj,2011,40,6
sj,2011,41,6
sj,2011,42,6
sj,2011,43,6
sj,2011,44,6
sj,2011,45,6
sj,2011,46,6
sj,2011,47,6
sj,2011,48,6
sj,2011,49,6
sj,2011,50,6
sj,2011,51,6
sj,2012,52,6
sj,2012,1,6
sj,2012,2,6
sj,2012,3,6
sj,2012,4,6
sj,2012,5,6
sj,2012,6,6
sj,2012,7,6
sj,2012,8,6
sj,2012,9,6
sj,2012,10,6
sj,2012,11,6
sj,2012,12,6
sj,2012,13,6
sj,2012,14,6
sj,2012,15,6
sj,2012,16,6
sj,2012,17,6
sj,2012,18,6
sj,2012,19,6
sj,2012,20,6
sj,2012,21,6
sj,2012,22,6
sj,2012,23,6
sj,2012,24,6
sj,2012,25,6
sj,2012,26,6
sj,2012,27,6
sj,2012,28,6
sj,2012,29,6
sj,2012,30,6
sj,2012,31,6
sj,2012,32,6
sj,2012,33,6
sj,2012,34,6
sj,2012,35,6
sj,2012,36,6
sj,2012,37,6
sj,2012,38,6
sj,2012,39,6
sj,2012,40,6
sj,2012,41,6
sj,2012,42,6
sj,2012,43,6
sj,2012,44,6
sj,2012,45,6
sj,2012,46,6
sj,2012,47,6
sj,2012,48,6
sj,2012,49,6
sj,2012,50,6
sj,2012,51,6
sj,2013,1,6
sj,2013,2,6
sj,2013,3,6
sj,2013,4,6
sj,2013,5,6
sj,2013,6,6
sj,2013,7,6
sj,2013,8,6
sj,2013,9,6
sj,2013,10,6
sj,2013,11,6
sj,2013,12,6
sj,2013,13,6
sj,2013,14,6
sj,2013,15,6
sj,2013,16,6
sj,2013,17,6
iq,2010,26,4
iq,2010,27,4
iq,2010,28,4
iq,2010,29,4
iq,2010,30,4
iq,2010,31,6
iq,2010,32,4
iq,2010,33,4
iq,2010,34,4
iq,2010,35,4
iq,2010,36,7
iq,2010,37,7
iq,2010,38,7
iq,2010,39,7
iq,2010,40,7
iq,2010,41,7
iq,2010,42,7
iq,2010,43,7
iq,2010,44,5
iq,2010,45,7
iq,2010,46,22
iq,2010,47,8
iq,2010,48,7
iq,2010,49,11
iq,2010,50,20
iq,2010,51,11
iq,2011,52,8
iq,2011,1,10
iq,2011,2,15
iq,2011,3,20
iq,2011,4,15
iq,2011,5,15
iq,2011,6,15
iq,2011,7,20
iq,2011,8,15
iq,2011,9,15
iq,2011,10,15
iq,2011,11,6
iq,2011,12,20
iq,2011,13,6
iq,2011,14,20
iq,2011,15,20
iq,2011,16,6
iq,2011,17,6
iq,2011,18,4
iq,2011,19,20
iq,2011,20,4
iq,2011,21,4
iq,2011,22,4
iq,2011,23,4
iq,2011,24,4
iq,2011,25,4
iq,2011,26,4
iq,2011,27,4
iq,2011,28,4
iq,2011,29,4
iq,2011,30,20
iq,2011,31,4
iq,2011,32,4
iq,2011,33,4
iq,2011,34,4
iq,2011,35,4
iq,2011,36,29
iq,2011,37,20
iq,2011,38,29
iq,2011,39,29
iq,2011,40,20
iq,2011,41,29
iq,2011,42,29
iq,2011,43,20
iq,2011,44,20
iq,2011,45,29
iq,2011,46,29
iq,2011,47,8
iq,2011,48,29
iq,2011,49,11
iq,2011,50,20
iq,2011,51,22
iq,2012,52,8
iq,2012,1,15
iq,2012,2,15
iq,2012,3,20
iq,2012,4,20
iq,2012,5,15
iq,2012,6,20
iq,2012,7,20
iq,2012,8,20
iq,2012,9,20
iq,2012,10,20
iq,2012,11,20
iq,2012,12,20
iq,2012,13,20
iq,2012,14,20
iq,2012,15,6
iq,2012,16,20
iq,2012,17,6
iq,2012,18,20
iq,2012,19,4
iq,2012,20,20
iq,2012,21,4
iq,2012,22,20
iq,2012,23,4
iq,2012,24,20
iq,2012,25,4
iq,2012,26,4
iq,2012,27,4
iq,2012,28,4
iq,2012,29,4
iq,2012,30,4
iq,2012,31,4
iq,2012,32,4
iq,2012,33,4
iq,2012,34,20
iq,2012,35,4
iq,2012,36,2
iq,2012,37,2
iq,2012,38,2
iq,2012,39,2
iq,2012,40,2
iq,2012,41,20
iq,2012,42,2
iq,2012,43,2
iq,2012,44,2
iq,2012,45,2
iq,2012,46,2
iq,2012,47,8
iq,2012,48,8
iq,2012,49,20
iq,2012,50,11
iq,2012,51,20
iq,2013,1,15
iq,2013,2,20
iq,2013,3,20
iq,2013,4,15
iq,2013,5,20
iq,2013,6,15
iq,2013,7,15
iq,2013,8,15
iq,2013,9,20
iq,2013,10,20
iq,2013,11,6
iq,2013,12,6
iq,2013,13,20
iq,2013,14,6
iq,2013,15,20
iq,2013,16,20
iq,2013,17,20
iq,2013,18,4
iq,2013,19,4
iq,2013,20,20
iq,2013,21,20
iq,2013,22,4
iq,2013,23,20
iq,2013,24,20
iq,2013,25,4
iq,2013,26,4
