city,year,weekofyear,total_cases
sj,2008,18,22
sj,2008,19,29
sj,2008,20,23
sj,2008,21,25
sj,2008,22,39
sj,2008,23,25
sj,2008,24,30
sj,2008,25,30
sj,2008,26,40
sj,2008,27,32
sj,2008,28,16
sj,2008,29,26
sj,2008,30,17
sj,2008,31,40
sj,2008,32,31
sj,2008,33,53
sj,2008,34,28
sj,2008,35,33
sj,2008,36,35
sj,2008,37,37
sj,2008,38,25
sj,2008,39,15
sj,2008,40,22
sj,2008,41,36
sj,2008,42,40
sj,2008,43,9
sj,2008,44,49
sj,2008,45,41
sj,2008,46,29
sj,2008,47,29
sj,2008,48,31
sj,2008,49,28
sj,2008,50,12
sj,2008,51,14
sj,2008,52,24
sj,2009,1,0
sj,2009,2,-20
sj,2009,3,7
sj,2009,4,12
sj,2009,5,3
sj,2009,6,12
sj,2009,7,-5
sj,2009,8,1
sj,2009,9,-7
sj,2009,10,-1
sj,2009,11,16
sj,2009,12,-9
sj,2009,13,-3
sj,2009,14,9
sj,2009,15,5
sj,2009,16,15
sj,2009,17,16
sj,2009,18,12
sj,2009,19,28
sj,2009,20,23
sj,2009,21,22
sj,2009,22,12
sj,2009,23,23
sj,2009,24,33
sj,2009,25,32
sj,2009,26,22
sj,2009,27,14
sj,2009,28,28
sj,2009,29,25
sj,2009,30,29
sj,2009,31,39
sj,2009,32,23
sj,2009,33,37
sj,2009,34,25
sj,2009,35,25
sj,2009,36,37
sj,2009,37,42
sj,2009,38,50
sj,2009,39,34
sj,2009,40,39
sj,2009,41,39
sj,2009,42,28
sj,2009,43,26
sj,2009,44,26
sj,2009,45,41
sj,2009,46,31
sj,2009,47,39
sj,2009,48,30
sj,2009,49,30
sj,2009,50,34
sj,2009,51,30
sj,2009,52,34
sj,2010,53,40
sj,2010,1,7
sj,2010,2,6
sj,2010,3,21
sj,2010,4,3
sj,2010,5,10
sj,2010,6,-3
sj,2010,7,11
sj,2010,8,20
sj,2010,9,14
sj,2010,10,34
sj,2010,11,6
sj,2010,12,4
sj,2010,13,-3
sj,2010,14,3
sj,2010,15,12
sj,2010,16,22
sj,2010,17,31
sj,2010,18,17
sj,2010,19,24
sj,2010,20,22
sj,2010,21,24
sj,2010,22,34
sj,2010,23,27
sj,2010,24,7
sj,2010,25,31
sj,2010,26,26
sj,2010,27,26
sj,2010,28,30
sj,2010,29,42
sj,2010,30,32
sj,2010,31,22
sj,2010,32,50
sj,2010,33,36
sj,2010,34,22
sj,2010,35,35
sj,2010,36,46
sj,2010,37,30
sj,2010,38,40
sj,2010,39,40
sj,2010,40,35
sj,2010,41,42
sj,2010,42,10
sj,2010,43,15
sj,2010,44,35
sj,2010,45,39
sj,2010,46,31
sj,2010,47,10
sj,2010,48,26
sj,2010,49,14
sj,2010,50,19
sj,2010,51,34
sj,2011,52,24
sj,2011,1,6
sj,2011,2,11
sj,2011,3,-15
sj,2011,4,-9
sj,2011,5,-4
sj,2011,6,3
sj,2011,7,-5
sj,2011,8,-7
sj,2011,9,-1
sj,2011,10,-15
sj,2011,11,-11
sj,2011,12,-6
sj,2011,13,3
sj,2011,14,11
sj,2011,15,5
sj,2011,16,-4
sj,2011,17,9
sj,2011,18,18
