city,year,weekofyear,total_cases
sj,2008,18,9
sj,2008,19,9
sj,2008,20,12
sj,2008,21,15
sj,2008,22,18
sj,2008,23,15
sj,2008,24,17
sj,2008,25,34
sj,2008,26,26
sj,2008,27,38
sj,2008,28,20
sj,2008,29,31
sj,2008,30,34
sj,2008,31,49
sj,2008,32,90
sj,2008,33,84
sj,2008,34,85
sj,2008,35,81
sj,2008,36,113
sj,2008,37,94
sj,2008,38,90
sj,2008,39,62
sj,2008,40,90
sj,2008,41,33
sj,2008,42,35
sj,2008,43,37
sj,2008,44,32
sj,2008,45,46
sj,2008,46,29
sj,2008,47,31
sj,2008,48,35
sj,2008,49,23
sj,2008,50,25
sj,2008,51,33
sj,2008,52,19
sj,2009,1,20
sj,2009,2,15
sj,2009,3,18
sj,2009,4,14
sj,2009,5,18
sj,2009,6,12
sj,2009,7,12
sj,2009,8,11
sj,2009,9,10
sj,2009,10,10
sj,2009,11,11
sj,2009,12,9
sj,2009,13,10
sj,2009,14,10
sj,2009,15,10
sj,2009,16,10
sj,2009,17,9
sj,2009,18,10
sj,2009,19,10
sj,2009,20,14
sj,2009,21,12
sj,2009,22,28
sj,2009,23,20
sj,2009,24,18
sj,2009,25,21
sj,2009,26,24
sj,2009,27,33
sj,2009,28,38
sj,2009,29,44
sj,2009,30,71
sj,2009,31,72
sj,2009,32,38
sj,2009,33,49
sj,2009,34,73
sj,2009,35,97
sj,2009,36,74
sj,2009,37,82
sj,2009,38,60
sj,2009,39,49
sj,2009,40,102
sj,2009,41,100
sj,2009,42,96
sj,2009,43,81
sj,2009,44,55
sj,2009,45,32
sj,2009,46,43
sj,2009,47,40
sj,2009,48,47
sj,2009,49,27
sj,2009,50,27
sj,2009,51,26
sj,2009,52,26
sj,2010,53,30
sj,2010,1,16
sj,2010,2,15
sj,2010,3,23
sj,2010,4,16
sj,2010,5,13
sj,2010,6,12
sj,2010,7,16
sj,2010,8,11
sj,2010,9,13
sj,2010,10,12
sj,2010,11,11
sj,2010,12,20
sj,2010,13,18
sj,2010,14,11
sj,2010,15,10
sj,2010,16,13
sj,2010,17,33
sj,2010,18,39
sj,2010,19,15
sj,2010,20,30
sj,2010,21,29
sj,2010,22,60
sj,2010,23,59
sj,2010,24,65
sj,2010,25,71
sj,2010,26,59
sj,2010,27,76
sj,2010,28,67
sj,2010,29,74
sj,2010,30,72
sj,2010,31,79
sj,2010,32,92
sj,2010,33,103
sj,2010,34,101
sj,2010,35,125
sj,2010,36,109
sj,2010,37,101
sj,2010,38,100
sj,2010,39,96
sj,2010,40,80
sj,2010,41,94
sj,2010,42,45
sj,2010,43,45
sj,2010,44,47
sj,2010,45,42
sj,2010,46,26
sj,2010,47,31
sj,2010,48,23
sj,2010,49,25
sj,2010,50,23
sj,2010,51,19
sj,2011,52,22
sj,2011,1,16
sj,2011,2,19
sj,2011,3,20
sj,2011,4,17
sj,2011,5,14
sj,2011,6,11
sj,2011,7,14
sj,2011,8,14
sj,2011,9,10
sj,2011,10,11
sj,2011,11,10
sj,2011,12,10
sj,2011,13,11
sj,2011,14,10
sj,2011,15,11
sj,2011,16,10
sj,2011,17,10
sj,2011,18,14
sj,2011,19,11
sj,2011,20,13
sj,2011,21,30
sj,2011,22,58
sj,2011,23,41
sj,2011,24,67
sj,2011,25,78
sj,2011,26,59
sj,2011,27,62
sj,2011,28,61
sj,2011,29,37
sj,2011,30,76
sj,2011,31,82
sj,2011,32,94
sj,2011,33,88
sj,2011,34,102
sj,2011,35,91
sj,2011,36,91
sj,2011,37,87
sj,2011,38,72
sj,2011,39,105
sj,2011,40,99
sj,2011,41,57
sj,2011,42,44
sj,2011,43,33
sj,2011,44,48
sj,2011,45,38
sj,2011,46,30
sj,2011,47,36
sj,2011,48,36
sj,2011,49,32
sj,2011,50,36
sj,2011,51,21
sj,2012,52,29
sj,2012,1,18
sj,2012,2,19
sj,2012,3,16
sj,2012,4,15
sj,2012,5,12
sj,2012,6,11
sj,2012,7,12
sj,2012,8,11
sj,2012,9,11
sj,2012,10,10
sj,2012,11,11
sj,2012,12,10
sj,2012,13,16
sj,2012,14,11
sj,2012,15,14
sj,2012,16,11
sj,2012,17,10
sj,2012,18,18
sj,2012,19,14
sj,2012,20,31
sj,2012,21,18
sj,2012,22,15
sj,2012,23,34
sj,2012,24,31
sj,2012,25,48
sj,2012,26,46
sj,2012,27,39
sj,2012,28,38
sj,2012,29,59
sj,2012,30,66
sj,2012,31,43
sj,2012,32,102
sj,2012,33,96
sj,2012,34,101
sj,2012,35,45
sj,2012,36,58
sj,2012,37,49
sj,2012,38,50
sj,2012,39,87
sj,2012,40,102
sj,2012,41,61
sj,2012,42,99
sj,2012,43,97
sj,2012,44,92
sj,2012,45,67
sj,2012,46,35
sj,2012,47,126
sj,2012,48,30
sj,2012,49,33
sj,2012,50,28
sj,2012,51,20
sj,2013,1,15
sj,2013,2,18
sj,2013,3,13
sj,2013,4,14
sj,2013,5,15
sj,2013,6,11
sj,2013,7,12
sj,2013,8,11
sj,2013,9,11
sj,2013,10,24
sj,2013,11,11
sj,2013,12,10
sj,2013,13,12
sj,2013,14,11
sj,2013,15,17
sj,2013,16,16
sj,2013,17,10
iq,2010,26,10
iq,2010,27,6
iq,2010,28,10
iq,2010,29,11
iq,2010,30,6
iq,2010,31,9
iq,2010,32,5
iq,2010,33,9
iq,2010,34,8
iq,2010,35,11
iq,2010,36,14
iq,2010,37,7
iq,2010,38,11
iq,2010,39,7
iq,2010,40,15
iq,2010,41,13
iq,2010,42,11
iq,2010,43,12
iq,2010,44,10
iq,2010,45,11
iq,2010,46,14
iq,2010,47,14
iq,2010,48,15
iq,2010,49,11
iq,2010,50,11
iq,2010,51,13
iq,2011,52,13
iq,2011,1,14
iq,2011,2,11
iq,2011,3,12
iq,2011,4,13
iq,2011,5,11
iq,2011,6,13
iq,2011,7,13
iq,2011,8,13
iq,2011,9,11
iq,2011,10,12
iq,2011,11,10
iq,2011,12,10
iq,2011,13,10
iq,2011,14,10
iq,2011,15,11
iq,2011,16,11
iq,2011,17,10
iq,2011,18,11
iq,2011,19,3
iq,2011,20,8
iq,2011,21,15
iq,2011,22,11
iq,2011,23,7
iq,2011,24,11
iq,2011,25,6
iq,2011,26,10
iq,2011,27,5
iq,2011,28,3
iq,2011,29,7
iq,2011,30,8
iq,2011,31,8
iq,2011,32,8
iq,2011,33,4
iq,2011,34,7
iq,2011,35,5
iq,2011,36,5
iq,2011,37,10
iq,2011,38,7
iq,2011,39,13
iq,2011,40,11
iq,2011,41,10
iq,2011,42,11
iq,2011,43,11
iq,2011,44,11
iq,2011,45,14
iq,2011,46,12
iq,2011,47,10
iq,2011,48,10
iq,2011,49,12
iq,2011,50,16
iq,2011,51,14
iq,2012,52,11
iq,2012,1,18
iq,2012,2,12
iq,2012,3,12
iq,2012,4,11
iq,2012,5,13
iq,2012,6,11
iq,2012,7,13
iq,2012,8,16
iq,2012,9,11
iq,2012,10,11
iq,2012,11,7
iq,2012,12,7
iq,2012,13,9
iq,2012,14,9
iq,2012,15,10
iq,2012,16,10
iq,2012,17,10
iq,2012,18,9
iq,2012,19,8
iq,2012,20,13
iq,2012,21,8
iq,2012,22,6
iq,2012,23,7
iq,2012,24,8
iq,2012,25,8
iq,2012,26,10
iq,2012,27,3
iq,2012,28,7
iq,2012,29,5
iq,2012,30,7
iq,2012,31,7
iq,2012,32,5
iq,2012,33,8
iq,2012,34,8
iq,2012,35,11
iq,2012,36,5
iq,2012,37,7
iq,2012,38,6
iq,2012,39,7
iq,2012,40,10
iq,2012,41,13
iq,2012,42,10
iq,2012,43,11
iq,2012,44,12
iq,2012,45,12
iq,2012,46,10
iq,2012,47,15
iq,2012,48,11
iq,2012,49,10
iq,2012,50,14
iq,2012,51,12
iq,2013,1,10
iq,2013,2,8
iq,2013,3,11
iq,2013,4,13
iq,2013,5,17
iq,2013,6,13
iq,2013,7,12
iq,2013,8,12
iq,2013,9,13
iq,2013,10,11
iq,2013,11,9
iq,2013,12,10
iq,2013,13,10
iq,2013,14,10
iq,2013,15,9
iq,2013,16,10
iq,2013,17,13
iq,2013,18,7
iq,2013,19,10
iq,2013,20,10
iq,2013,21,10
iq,2013,22,9
iq,2013,23,9
iq,2013,24,7
iq,2013,25,5
iq,2013,26,6
